ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,totalIncome,incomePerDependent,loanToIncomeRatio,Gender_Male,Married_Yes,Dependents_1,Dependents_2,Dependents_3,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,Loan_Status
0.6980291345329905,-0.5173577103058005,0.0,360.0,1.0,0.12888326007598896,0.4616492370992628,-0.2512038406388253,1,0,0,0,0,0,0,0,1,1
0.2640959725792631,0.13907933398628794,0.0,360.0,1.0,0.20099828652313192,-0.30735470598319903,-0.3484876634475493,1,1,1,0,0,0,0,0,0,0
-0.27849185946872324,-0.5173577103058005,-0.9612403100775194,360.0,1.0,-0.7201072785517395,-0.3198354191668095,-0.23823403148058864,1,1,0,0,0,0,1,0,1,1
-0.4214224507283633,0.5090869517901839,-0.12403100775193798,360.0,1.0,-0.1416970870893243,0.21258357620435453,0.017608197301106014,1,1,0,0,0,1,0,0,1,1
0.7497857754927164,-0.5173577103058005,0.20155038759689922,360.0,1.0,0.17388065261118976,0.5030687467855306,-0.07040125766083899,1,0,0,0,0,0,0,0,1,1
0.5499571550985433,1.3091740124061377,2.1550387596899223,360.0,1.0,1.250540117708411,-0.26378650208583343,0.40790963548633646,1,1,0,1,0,0,1,0,1,1
-0.5071122536418167,0.14256175862444226,-0.5116279069767442,360.0,1.0,-0.46710869403263056,-0.08695354020229727,0.06182137535537816,1,1,0,0,0,1,0,0,1,1
-0.26615252784918597,0.5726412014365002,0.46511627906976744,360.0,0.0,0.03680250316620726,-0.7628321618378193,0.49126293486951395,1,1,0,0,1,0,0,1,0,0
0.06632390745501285,0.14691478942213515,0.6201550387596899,360.0,1.0,0.03441853534977278,-0.6369278244471113,0.6981345027154975,1,1,0,1,0,0,0,0,1,1
3.0946015424164526,4.2570464686037655,3.4263565891472867,360.0,1.0,5.480891007971392,2.1226812960740613,-1.059683432915468,1,1,1,0,0,0,0,1,0,0
-0.2099400171379606,-0.21264555446729785,-0.8992248062015504,360.0,1.0,-0.45191089920286076,-0.7861477798731356,-0.6915259676091429,1,1,0,1,0,0,0,0,1,1
-0.4498714652956298,0.28359995646969205,-0.29457364341085274,360.0,1.0,-0.32079266929896444,-0.7459169095376877,0.11032189817271618,1,1,0,1,0,0,0,0,1,1
-0.2534704370179949,3.011209054304059,1.1162790697674418,360.0,1.0,1.71720181777546,-0.12060117721012625,-0.6980188639779288,1,1,0,1,0,0,0,0,1,1
-0.671636675235647,0.7189030362389814,-0.21705426356589147,360.0,1.0,-0.2156000893987931,0.1445568318189611,0.018158276163077434,1,0,0,0,0,0,0,0,0,0
-0.8615252784918594,-0.04461856567635216,-1.7209302325581395,120.0,1.0,-0.9033748044401401,-0.9246699811417796,-1.9022531754041425,1,1,0,1,0,0,0,0,1,1
