Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,totalIncome,incomePerDependent,loanToIncomeRatio,Loan_Status
Male,No,0,Graduate,No,128.0,360.0,1.0,Urban,5849.0,5849.0,0.021884082749187895,1
Male,Yes,1,Graduate,No,128.0,360.0,1.0,Rural,6091.0,3045.5,0.0210146117222131,0
Male,Yes,0,Graduate,Yes,66.0,360.0,1.0,Urban,3000.0,3000.0,0.022,1
Male,Yes,0,Not Graduate,No,120.0,360.0,1.0,Urban,4941.0,4941.0,0.024286581663630843,1
Male,No,0,Graduate,No,141.0,360.0,1.0,Urban,6000.0,6000.0,0.0235,1
Male,Yes,2,Graduate,Yes,267.0,360.0,1.0,Urban,9613.0,3204.3333333333335,0.027774888172266723,1
Male,Yes,0,Not Graduate,No,95.0,360.0,1.0,Urban,3849.0,3849.0,0.024681735515718367,1
Male,Yes,3,Graduate,No,158.0,360.0,0.0,Semiurban,5540.0,1385.0,0.02851985559566787,0
Male,Yes,2,Graduate,No,168.0,360.0,1.0,Urban,5532.0,1844.0,0.03036876355748373,1
Male,Yes,1,Graduate,No,349.0,360.0,1.0,Semiurban,23809.0,11904.5,0.014658322483094628,0
Male,Yes,2,Graduate,No,70.0,360.0,1.0,Urban,3900.0,1300.0,0.017948717948717947,1
Male,Yes,2,Graduate,No,109.0,360.0,1.0,Urban,4340.0,1446.6666666666667,0.02511520737327189,1
Male,Yes,2,Graduate,No,200.0,360.0,1.0,Urban,11179.0,3726.3333333333335,0.01789068789694964,1
Male,No,0,Graduate,No,114.0,360.0,1.0,Rural,4693.0,4693.0,0.024291497975708502,0
Male,Yes,2,Graduate,No,17.0,120.0,1.0,Urban,2385.0,795.0,0.007127882599580713,1
Male,No,0,Graduate,No,125.0,360.0,1.0,Urban,4950.0,4950.0,0.025252525252525252,1
Male,No,1,Not Graduate,No,100.0,240.0,1.0,Urban,3596.0,1798.0,0.027808676307007785,1
Female,No,0,Graduate,No,76.0,360.0,0.0,Urban,3510.0,3510.0,0.021652421652421653,0
Male,Yes,0,Not Graduate,No,133.0,360.0,1.0,Rural,4887.0,4887.0,0.027215060364231634,0
Male,Yes,0,Graduate,No,115.0,360.0,1.0,Urban,6100.0,6100.0,0.018852459016393444,1
Male,Yes,0,Not Graduate,No,104.0,360.0,0.0,Urban,7660.0,7660.0,0.013577023498694517,0
Male,Yes,1,Graduate,No,315.0,360.0,1.0,Urban,11580.0,5790.0,0.027202072538860103,1
Male,Yes,0,Not Graduate,No,116.0,360.0,0.0,Semiurban,4511.0,4511.0,0.025714919086677012,0
Male,Yes,2,Not Graduate,No,112.0,360.0,0.0,Rural,5282.0,1760.6666666666667,0.021204089360090876,0
Male,Yes,1,Graduate,No,151.0,360.0,1.0,Semiurban,6642.0,3321.0,0.02273411623005119,0
Male,Yes,0,Graduate,Yes,191.0,360.0,1.0,Semiurban,9560.0,9560.0,0.01997907949790795,1
Male,Yes,0,Graduate,No,122.0,360.0,1.0,Semiurban,5052.0,5052.0,0.02414885193982581,1
Male,Yes,2,Not Graduate,No,110.0,360.0,1.0,Urban,5266.0,1755.3333333333333,0.020888720091150777,1
Male,No,0,Not Graduate,No,35.0,360.0,1.0,Urban,1442.0,1442.0,0.024271844660194174,0
